format_raw,Format,Metric,Year,count,Revenue [m$],Units [m],Rev [m$]
Cassette,Cassette,Units,1973,1,0,15,0
CD,CD,Units,1973,1,0,0,0
Download Single,Download,Units,1973,1,0,0,0
DVD Audio,DVD,Units,1973,1,0,0,0
Music Video (Physical),Other,Units,1973,1,0,0,0
On-Demand Streaming (Ad-Supported),Other Streaming,Value,1973,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1973,1,0,0,0
Ringtones & Ringbacks,Ringtones,Units,1973,1,0,0,0
Synchronization,Synchronization,Value,1973,1,0,0,0
8 - Track,Tapes,Units,1973,1,0,91,0
LP/EP,Vinyl,Units,1973,1,0,280,0
CD,CD,Units,1974,1,0,0,0
CD,CD,Units,1975,1,0,0,0
CD,CD,Units,1976,1,0,0,0
CD,CD,Units,1977,1,0,0,0
CD,CD,Units,1978,1,0,0,0
CD,CD,Units,1979,1,0,0,0
CD,CD,Units,1980,1,0,0,0
CD,CD,Units,1981,1,0,0,0
CD,CD,Units,1982,1,0,0,0
CD,CD,Units,1983,1,0,1,0
CD,CD,Units,1984,1,0,6,0
CD,CD,Units,1985,1,0,23,0
CD,CD,Units,1986,1,0,53,0
CD,CD,Units,1987,1,0,102,0
CD,CD,Units,1988,1,0,150,0
CD,CD,Units,1989,1,0,207,0
CD,CD,Units,1990,1,0,287,0
CD,CD,Units,1991,1,0,333,0
CD,CD,Units,1992,1,0,408,0
CD,CD,Units,1993,1,0,495,0
CD,CD,Units,1994,1,0,662,0
CD,CD,Units,1995,1,0,723,0
CD,CD,Units,1996,1,0,779,0
CD,CD,Units,1997,1,0,753,0
CD,CD,Units,1998,1,0,847,0
CD,CD,Units,1999,1,0,939,0
CD,CD,Units,2000,1,0,943,0
CD,CD,Units,2001,1,0,882,0
CD,CD,Units,2002,1,0,803,0
CD,CD,Units,2003,1,0,746,0
CD,CD,Units,2004,1,0,767,0
CD,CD,Units,2005,1,0,705,0
CD,CD,Units,2006,1,0,620,0
CD,CD,Units,2007,1,0,500,0
CD,CD,Units,2008,1,0,368,0
