Format,Metric,Year,Revenue[$],Units
DVD,Units,1973,0,0
Other,Units,1973,0,0
Tape,Units,1973,0,91000000
Download,Units,1973,0,0
Streaming,Value,1973,0,0
Cassette,Units,1973,0,15000000
Vinyl,Units,1973,0,280000000
CD,Units,1973,0,0
Streaming,Units,1973,0,0
Other,Units,1973,0,0
Other,Value,1973,0,0
CD,Units,1974,0,0
CD,Units,1975,0,0
CD,Units,1976,0,0
CD,Units,1977,0,0
CD,Units,1978,0,0
CD,Units,1979,0,0
CD,Units,1980,0,0
CD,Units,1981,0,0
CD,Units,1982,0,0
CD,Units,1983,0,1000000
CD,Units,1984,0,6000000
CD,Units,1985,0,23000000
CD,Units,1986,0,53000000
CD,Units,1987,0,102000000
CD,Units,1988,0,150000000
CD,Units,1989,0,207000000
CD,Units,1990,0,287000000
CD,Units,1991,0,333000000
CD,Units,1992,0,408000000
CD,Units,1993,0,495000000
CD,Units,1994,0,662000000
CD,Units,1995,0,723000000
CD,Units,1996,0,779000000
CD,Units,1997,0,753000000
CD,Units,1998,0,847000000
CD,Units,1999,0,939000000
CD,Units,2000,0,943000000
CD,Units,2001,0,882000000
CD,Units,2002,0,803000000
CD,Units,2003,0,746000000
CD,Units,2004,0,767000000
CD,Units,2005,0,705000000
CD,Units,2006,0,620000000
CD,Units,2007,0,500000000
CD,Units,2008,0,368000000
CD,Units,2009,0,297000000
CD,Units,2010,0,253000000
CD,Units,2011,0,241000000
CD,Units,2012,0,198000000
CD,Units,2013,0,174000000
CD,Units,2014,0,139000000
CD,Units,2015,0,117000000
CD,Units,2016,0,98000000
CD,Units,2017,0,88000000
CD,Units,2018,0,52000000
CD,Units,2019,0,47000000
CD,Units,1973,0,0
CD,Units,1974,0,0
CD,Units,1975,0,0
CD,Units,1976,0,0
CD,Units,1977,0,0
CD,Units,1978,0,0
CD,Units,1979,0,0
CD,Units,1980,0,0
CD,Units,1981,0,0
CD,Units,1982,0,0
CD,Units,1983,0,0
CD,Units,1984,0,0
CD,Units,1985,0,0
CD,Units,1986,0,0
CD,Units,1987,0,0
CD,Units,1988,0,2000000
CD,Units,1989,0,0
CD,Units,1990,0,1000000
CD,Units,1991,0,6000000
CD,Units,1992,0,7000000
CD,Units,1993,0,8000000
CD,Units,1994,0,9000000
CD,Units,1995,0,22000000
CD,Units,1996,0,43000000
CD,Units,1997,0,67000000
CD,Units,1998,0,56000000
CD,Units,1999,0,56000000
CD,Units,2000,0,34000000
CD,Units,2001,0,17000000
CD,Units,2002,0,5000000
CD,Units,2003,0,8000000
CD,Units,2004,0,3000000
CD,Units,2005,0,3000000
CD,Units,2006,0,2000000
CD,Units,2007,0,3000000
CD,Units,2008,0,1000000
CD,Units,2009,0,1000000
CD,Units,2010,0,1000000
CD,Units,2011,0,1000000
CD,Units,2012,0,1000000
CD,Units,2013,0,1000000
CD,Units,2014,0,1000000
CD,Units,2015,0,0
CD,Units,2016,0,0
CD,Units,2017,0,0
CD,Units,2018,0,0
CD,Units,2019,0,0
Cassette,Units,1974,0,15000000
Cassette,Units,1975,0,16000000
Cassette,Units,1976,0,22000000
Cassette,Units,1977,0,37000000
Cassette,Units,1978,0,61000000
Cassette,Units,1979,0,79000000
Cassette,Units,1980,0,99000000
Cassette,Units,1981,0,124000000
Cassette,Units,1982,0,183000000
Cassette,Units,1983,0,237000000
Cassette,Units,1984,0,332000000
Cassette,Units,1985,0,339000000
Cassette,Units,1986,0,345000000
Cassette,Units,1987,0,410000000
Cassette,Units,1988,0,450000000
Cassette,Units,1989,0,446000000
Cassette,Units,1990,0,442000000
Cassette,Units,1991,0,360000000
Cassette,Units,1992,0,366000000
Cassette,Units,1993,0,340000000
Cassette,Units,1994,0,345000000
Cassette,Units,1995,0,273000000
Cassette,Units,1996,0,225000000
Cassette,Units,1997,0,173000000
Cassette,Units,1998,0,159000000
Cassette,Units,1999,0,124000000
Cassette,Units,2000,0,76000000
Cassette,Units,2001,0,45000000
Cassette,Units,2002,0,31000000
Cassette,Units,2003,0,17000000
Cassette,Units,2004,0,5000000
Cassette,Units,2005,0,3000000
Cassette,Units,2006,0,1000000
Cassette,Units,2007,0,0
Cassette,Units,2008,0,0
Cassette,Units,2009,0,0
Cassette,Units,2010,0,0
Cassette,Units,2011,0,0
Cassette,Units,2012,0,0
Cassette,Units,2013,0,0
Cassette,Units,2014,0,0
Cassette,Units,2015,0,0
Cassette,Units,2016,0,0
Cassette,Units,2017,0,0
Cassette,Units,2018,0,0
Cassette,Units,2019,0,0
Cassette,Units,1973,0,0
Cassette,Units,1974,0,0
Cassette,Units,1975,0,0
Cassette,Units,1976,0,0
Cassette,Units,1977,0,0
Cassette,Units,1978,0,0
Cassette,Units,1979,0,0
Cassette,Units,1980,0,0
Cassette,Units,1981,0,0
Cassette,Units,1982,0,0
Cassette,Units,1983,0,0
Cassette,Units,1984,0,0
Cassette,Units,1985,0,0
Cassette,Units,1986,0,0
Cassette,Units,1987,0,5000000
Cassette,Units,1988,0,23000000
Cassette,Units,1989,0,76000000
Cassette,Units,1990,0,87000000
Cassette,Units,1991,0,69000000
Cassette,Units,1992,0,85000000
Cassette,Units,1993,0,86000000
Cassette,Units,1994,0,81000000
Cassette,Units,1995,0,71000000
Cassette,Units,1996,0,60000000
Cassette,Units,1997,0,42000000
Cassette,Units,1998,0,26000000
Cassette,Units,1999,0,14000000
Cassette,Units,2000,0,1000000
Cassette,Units,2001,0,-2000000
Cassette,Units,2002,0,-1000000
Cassette,Units,2003,0,0
Cassette,Units,2004,0,0
Cassette,Units,2005,0,0
Cassette,Units,2006,0,0
Cassette,Units,2007,0,0
Cassette,Units,2008,0,0
Cassette,Units,2009,0,0
Cassette,Units,2010,0,0
Cassette,Units,2011,0,0
Cassette,Units,2012,0,0
Cassette,Units,2013,0,0
Cassette,Units,2014,0,0
Cassette,Units,2015,0,0
Cassette,Units,2016,0,0
Cassette,Units,2017,0,0
Cassette,Units,2018,0,0
Cassette,Units,2019,0,0
Vinyl,Units,1974,0,276000000
Vinyl,Units,1975,0,257000000
Vinyl,Units,1976,0,273000000
Vinyl,Units,1977,0,344000000
Vinyl,Units,1978,0,341000000
Vinyl,Units,1979,0,290000000
Vinyl,Units,1980,0,308000000
Vinyl,Units,1981,0,295000000
Vinyl,Units,1982,0,244000000
Vinyl,Units,1983,0,210000000
Vinyl,Units,1984,0,205000000
Vinyl,Units,1985,0,167000000
Vinyl,Units,1986,0,125000000
Vinyl,Units,1987,0,107000000
Vinyl,Units,1988,0,72000000
Vinyl,Units,1989,0,35000000
Vinyl,Units,1990,0,12000000
Vinyl,Units,1991,0,5000000
Vinyl,Units,1992,0,2000000
Vinyl,Units,1993,0,1000000
Vinyl,Units,1994,0,2000000
Vinyl,Units,1995,0,2000000
Vinyl,Units,1996,0,3000000
Vinyl,Units,1997,0,3000000
Vinyl,Units,1998,0,3000000
Vinyl,Units,1999,0,3000000
Vinyl,Units,2000,0,2000000
Vinyl,Units,2001,0,2000000
Vinyl,Units,2002,0,2000000
Vinyl,Units,2003,0,2000000
Vinyl,Units,2004,0,1000000
Vinyl,Units,2005,0,1000000
Vinyl,Units,2006,0,1000000
Vinyl,Units,2007,0,1000000
Vinyl,Units,2008,0,3000000
Vinyl,Units,2009,0,4000000
Vinyl,Units,2010,0,4000000
Vinyl,Units,2011,0,6000000
Vinyl,Units,2012,0,7000000
Vinyl,Units,2013,0,9000000
Vinyl,Units,2014,0,10000000
Vinyl,Units,2015,0,14000000
Vinyl,Units,2016,0,15000000
Vinyl,Units,2017,0,16000000
Vinyl,Units,2018,0,17000000
Vinyl,Units,2019,0,19000000
Vinyl,Units,1973,0,228000000
Vinyl,Units,1974,0,204000000
Vinyl,Units,1975,0,164000000
Vinyl,Units,1976,0,190000000
Vinyl,Units,1977,0,190000000
Vinyl,Units,1978,0,190000000
Vinyl,Units,1979,0,212000000
Vinyl,Units,1980,0,157000000
Vinyl,Units,1981,0,155000000
Vinyl,Units,1982,0,137000000
Vinyl,Units,1983,0,125000000
Vinyl,Units,1984,0,132000000
Vinyl,Units,1985,0,121000000
Vinyl,Units,1986,0,94000000
Vinyl,Units,1987,0,82000000
Vinyl,Units,1988,0,66000000
Vinyl,Units,1989,0,37000000
Vinyl,Units,1990,0,28000000
Vinyl,Units,1991,0,22000000
Vinyl,Units,1992,0,20000000
Vinyl,Units,1993,0,15000000
Vinyl,Units,1994,0,12000000
Vinyl,Units,1995,0,10000000
Vinyl,Units,1996,0,10000000
Vinyl,Units,1997,0,8000000
Vinyl,Units,1998,0,5000000
Vinyl,Units,1999,0,5000000
Vinyl,Units,2000,0,5000000
Vinyl,Units,2001,0,6000000
Vinyl,Units,2002,0,4000000
Vinyl,Units,2003,0,4000000
Vinyl,Units,2004,0,4000000
Vinyl,Units,2005,0,2000000
Vinyl,Units,2006,0,2000000
